Question,Answers,Comment,Instructions,Render as
明日,"あした,あす",Tomorrow,Type the reading!,Image
会う,あう,"to meet, to encounter",Type the reading!,Image
青青,あお,"1. blue; azure, 2. green​, 3. green light (traffic)",Type the reading!,Image
青い,あおい,"1. blue; azure, 2. green​1. blue; azure, 2. green​, 3. green light (traffic)",Type the reading!,Image
明るい,あかるい,"1. light; bright; well-lit; well-lighted, 2. bright (colour), 3. cheerful; bright; spirited; sunny (e.g. disposition)",Type the reading!,Image
秋,あかるい,autumn; fall,Type the reading!,Image
開く,あく,to open; to undo; to unseal; to unpack,Type the reading!,Image
開ける,あける,"to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock",Type the reading!,Image
上げる,あげる,to raise; to elevate​,Type the reading!,Image
朝,あさ,morning,Type the reading!,Image
朝ごはん,あさごはん,breakfast,Type the reading!,Image
明後日,あさって,the day after tomorrow,Type the reading!,Image
足,あし,foot; leg,Type the reading!,Image
上着,うわぎ,coat; jacket; outerwear,Type the reading!,Image
遊ぶ,あそぶ,"to play (games, sports); to enjoy oneself; to have a good time",Type the reading!,Image
遊び,あそび,play; playing; game,Type the reading!,Image
暖かい,あたたかい,"1. warm; mild; (pleasantly) hot​, 2. considerate; kind; genial​, 3. warm (of a colour); mellow​",Type the reading!,Image
頭,あたま,head,Type the reading!,Image
新しい,あたらしい,new; novel; fresh; recent; latest; up-to-date; modern,Type the reading!,Image
暑い,あつい,"1. hot; warm; sultry; heated​, 2. passionate; impassioned; burning (desire, etc.)",Type the reading!,Image
熱い,あつい,"1. hot (to the touch), 2. passionate (feelings, etc.); ardent; hot (e.g. gaze)​, 3. hot (e.g. temper)",Type the reading!,Image
厚い,あつい,thick; deep; heavy厚い,Type the reading!,Image
兄,あに,older brother; elder brother​,Type the reading!,Image
姉,あね,older sister; elder sister,Type the reading!,Image
浴びる,あびる,to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in,Type the reading!,Image
危ない,あぶない,"1. dangerous; risky; hazardous; perilous; precarious, 2. in danger; in jeopardy; critical; grave; at risk",Type the reading!,Image
甘い,あまい,sweet-tasting; sweet; sugary; sugared,Type the reading!,Image
余り,あまり,(​Usually written using kana) remainder; remnant; rest; balance; surplus; remains (of a meal); leftovers​,Type the reading!,Image
雨,あめ,"rain, rainy day; rainy weather",Type the reading!,Image
飴,あめ,(hard) candy; toffee,Type the reading!,Image
歩く,あるく,to walk,Type the reading!,Image
